Model_ID,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
Llama3.2_3Bparam_lr0.1_wd1e-05,4.2043,8.942177772521973,0.011111111111111112,4.444444444444445,200,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd1e-05,N/A,N/A,N/A,4.444444444444445,200,4.177059650421143,6.9911,12.444,0.858
Llama3.2_3Bparam_lr0.1_wd1e-05,4.1614,46.26679992675781,0.006666666666666667,4.666666666666667,210,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd1e-05,N/A,N/A,N/A,4.666666666666667,210,4.1219635009765625,6.9928,12.441,0.858
Llama3.2_3Bparam_lr0.1_wd1e-05,4.1314,18.55736541748047,0.0022222222222222222,4.888888888888889,220,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd1e-05,N/A,N/A,N/A,4.888888888888889,220,4.093034267425537,6.9936,12.44,0.858
Llama3.2_3Bparam_lr0.1_wd1e-05,N/A,N/A,N/A,5.0,225,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,9.6765,433884.75,0.09555555555555556,0.2222222222222222,10,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,0.2222222222222222,10,16.853824615478516,7.084,12.281,0.847
Llama3.2_3Bparam_lr0.1_wd0.0001,17.8822,1665.3038330078125,0.09111111111111111,0.4444444444444444,20,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,0.4444444444444444,20,17.460391998291016,7.0097,12.411,0.856
Llama3.2_3Bparam_lr0.1_wd0.0001,13.0323,148.01150512695312,0.08666666666666667,0.6666666666666666,30,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,0.6666666666666666,30,9.830476760864258,6.965,12.491,0.861
Llama3.2_3Bparam_lr0.1_wd0.0001,8.7003,21.740447998046875,0.08222222222222222,0.8888888888888888,40,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,0.8888888888888888,40,7.196511268615723,6.9465,12.524,0.864
Llama3.2_3Bparam_lr0.1_wd0.0001,6.6543,3.7841901779174805,0.07777777777777778,1.1111111111111112,50,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,1.1111111111111112,50,5.899092197418213,6.9647,12.492,0.861
Llama3.2_3Bparam_lr0.1_wd0.0001,5.4405,73.0229721069336,0.07333333333333333,1.3333333333333333,60,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,1.3333333333333333,60,5.397059917449951,6.9756,12.472,0.86
Llama3.2_3Bparam_lr0.1_wd0.0001,5.2423,4365.1416015625,0.06888888888888889,1.5555555555555556,70,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,1.5555555555555556,70,5.238958835601807,6.9982,12.432,0.857
Llama3.2_3Bparam_lr0.1_wd0.0001,5.3083,189876.75,0.06444444444444446,1.7777777777777777,80,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,1.7777777777777777,80,5.457162380218506,7.0466,12.346,0.851
Llama3.2_3Bparam_lr0.1_wd0.0001,5.3772,251.7034912109375,0.06,2.0,90,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,2.0,90,5.228618621826172,7.0183,12.396,0.855
Llama3.2_3Bparam_lr0.1_wd0.0001,5.1605,203.60198974609375,0.05555555555555556,2.2222222222222223,100,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,2.2222222222222223,100,5.056912422180176,7.0301,12.375,0.853
Llama3.2_3Bparam_lr0.1_wd0.0001,5.0317,1316.8497314453125,0.05111111111111111,2.4444444444444446,110,N/A,N/A,N/A,N/A
Llama3.2_3Bparam_lr0.1_wd0.0001,N/A,N/A,N/A,2.4444444444444446,110,5.017453670501709,7.0222,12.389,0.854
Llama3.2_3Bparam_lr0.1_wd0.0001,5.007,11993.818359375,0.04666666666666667,2.6666666666666665,120,N/A,N/A,N/A,N/A
