Model_ID,Step,Train Loss,Eval Loss
llama_lora_finetuned_lr0.1_wd0.1,10,6.0605998039245605,5.737056255340576
llama_lora_finetuned_lr0.1_wd0.1,20,6.468200206756592,5.060547351837158
llama_lora_finetuned_lr0.1_wd0.1,30,5.54580020904541,4.703495502471924
llama_lora_finetuned_lr0.1_wd0.1,40,4.901800155639648,5.1856279373168945
llama_lora_finetuned_lr0.1_wd0.1,50,6.5569000244140625,8.588903427124023
llama_lora_finetuned_lr0.1_wd0.1,60,7.697500228881836,5.926955699920654
llama_lora_finetuned_lr0.1_wd0.1,70,5.191500186920166,4.656583786010742
llama_lora_finetuned_lr0.1_wd0.1,80,4.687600135803223,4.660184383392334
llama_lora_finetuned_lr0.1_wd0.1,90,4.5883002281188965,4.508243083953857
llama_lora_finetuned_lr0.1_wd0.1,100,4.518700122833252,4.434758186340332
llama_lora_finetuned_lr0.1_wd0.1,110,4.404600143432617,4.3374738693237305
llama_lora_finetuned_lr0.1_wd0.1,120,4.90369987487793,22.022384643554688
llama_lora_finetuned_lr0.1_wd0.1,130,16.353900909423828,6.012162208557129
llama_lora_finetuned_lr0.1_wd0.1,140,5.6570000648498535,5.456898212432861
llama_lora_finetuned_lr0.1_wd0.1,150,5.610000133514404,8.892261505126953
llama_lora_finetuned_lr0.1_wd0.1,160,9.817000389099121,7.296169281005859
llama_lora_finetuned_lr0.1_wd0.1,170,8.314800262451172,11.038656234741211
llama_lora_finetuned_lr0.1_wd0.1,180,7.5208001136779785,6.210928916931152
llama_lora_finetuned_lr0.1_wd0.1,190,5.529699802398682,5.022396087646484
llama_lora_finetuned_lr0.1_wd0.1,200,4.817399978637695,4.635202884674072
llama_lora_finetuned_lr0.1_wd0.1,210,4.72130012512207,4.58333683013916
llama_lora_finetuned_lr0.1_wd0.1,220,4.591800212860107,4.526932716369629
llama_lora_finetuned_lr0.1_wd0.05,10,10.344599723815918,5.93184757232666
llama_lora_finetuned_lr0.1_wd0.05,20,5.3308000564575195,5.201755046844482
llama_lora_finetuned_lr0.1_wd0.05,30,5.075099945068359,5.080374240875244
llama_lora_finetuned_lr0.1_wd0.05,40,4.925099849700928,4.898031234741211
llama_lora_finetuned_lr0.1_wd0.05,50,5.0192999839782715,4.947915554046631
llama_lora_finetuned_lr0.1_wd0.05,60,5.19290018081665,5.431211948394775
llama_lora_finetuned_lr0.1_wd0.05,70,5.853600025177002,5.321211338043213
llama_lora_finetuned_lr0.1_wd0.05,80,5.4421000480651855,5.449692249298096
llama_lora_finetuned_lr0.1_wd0.05,90,5.407599925994873,5.231730937957764
llama_lora_finetuned_lr0.1_wd0.05,100,5.07450008392334,4.8231658935546875
llama_lora_finetuned_lr0.1_wd0.05,110,4.761499881744385,4.661912441253662
llama_lora_finetuned_lr0.1_wd0.05,120,4.603799819946289,4.547172546386719
llama_lora_finetuned_lr0.1_wd0.05,130,4.502200126647949,4.470687389373779
llama_lora_finetuned_lr0.1_wd0.05,140,4.418099880218506,4.373295307159424
llama_lora_finetuned_lr0.1_wd0.05,150,4.366000175476074,4.350988388061523
llama_lora_finetuned_lr0.1_wd0.05,160,4.338699817657471,4.309826850891113
llama_lora_finetuned_lr0.1_wd0.05,170,4.301700115203857,4.308109760284424
llama_lora_finetuned_lr0.1_wd0.05,180,4.272299766540527,4.241158485412598
llama_lora_finetuned_lr0.1_wd0.05,190,4.247300148010254,4.232577800750732
llama_lora_finetuned_lr0.1_wd0.05,200,4.2357001304626465,4.269193172454834
llama_lora_finetuned_lr0.1_wd0.05,210,4.230800151824951,4.1855268478393555
llama_lora_finetuned_lr0.1_wd0.05,220,4.193900108337402,4.186501502990723
llama_lora_finetuned_lr0.1_wd0.01,10,4.820199966430664,5.034373760223389
llama_lora_finetuned_lr0.1_wd0.01,20,4.932000160217285,4.989336967468262
llama_lora_finetuned_lr0.1_wd0.01,30,4.947800159454346,4.917237758636475
llama_lora_finetuned_lr0.1_wd0.01,40,4.989799976348877,5.073118209838867
llama_lora_finetuned_lr0.1_wd0.01,50,5.016600131988525,5.152299404144287
llama_lora_finetuned_lr0.1_wd0.01,60,4.961999893188477,4.910349369049072
llama_lora_finetuned_lr0.1_wd0.01,70,4.881999969482422,4.930246353149414
llama_lora_finetuned_lr0.1_wd0.01,80,4.91540002822876,4.89907169342041
llama_lora_finetuned_lr0.1_wd0.01,90,4.839000225067139,4.884742259979248
llama_lora_finetuned_lr0.1_wd0.01,100,4.859099864959717,4.792471885681152
llama_lora_finetuned_lr0.1_wd0.01,110,14.571599960327148,24.550382614135742
llama_lora_finetuned_lr0.1_wd0.01,120,23.475200653076172,23.468488693237305
llama_lora_finetuned_lr0.1_wd0.01,130,22.093599319458008,19.823389053344727
llama_lora_finetuned_lr0.1_wd0.01,140,19.936100006103516,20.411338806152344
llama_lora_finetuned_lr0.1_wd0.01,150,17.047399520874023,16.56557273864746
llama_lora_finetuned_lr0.1_wd0.01,160,17.271400451660156,14.975031852722168
llama_lora_finetuned_lr0.1_wd0.01,170,16.353099822998047,15.166250228881836
llama_lora_finetuned_lr0.1_wd0.01,180,14.453200340270996,14.737560272216797
llama_lora_finetuned_lr0.1_wd0.01,190,12.602999687194824,13.319997787475586
llama_lora_finetuned_lr0.1_wd0.01,200,11.581700325012207,11.740606307983398
llama_lora_finetuned_lr0.1_wd0.01,210,11.19159984588623,11.032649993896484
llama_lora_finetuned_lr0.1_wd0.01,220,10.764900207519531,10.010738372802734
llama_lora_finetuned_lr0.1_wd0.005,10,4.949699878692627,4.878587245941162
llama_lora_finetuned_lr0.1_wd0.005,20,4.919400215148926,4.89947509765625
llama_lora_finetuned_lr0.1_wd0.005,30,4.884399890899658,4.8389434814453125
llama_lora_finetuned_lr0.1_wd0.005,40,4.871200084686279,4.864628791809082
llama_lora_finetuned_lr0.1_wd0.005,50,4.841599941253662,4.8492326736450195
llama_lora_finetuned_lr0.1_wd0.005,60,5.3003997802734375,5.08143424987793
llama_lora_finetuned_lr0.1_wd0.005,70,5.135499954223633,5.011694431304932
llama_lora_finetuned_lr0.1_wd0.005,80,5.104400157928467,5.084194183349609
